status,full_url_length,hostname_length,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,full_url_digit_ratio,hostname_digit_ratio,abnormal_domain,random_domain,prefix_suffix,common_terms,punycode,word_count,repeatead_characters,TLD,length_param,email_in_url,dom_in_ip,num_vowels_dom
0,37,19,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,10,0,0,8
1,77,23,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.22077922077922077,0.0,0,0,0,0,0,6,1,1,32,0,0,24
1,126,50,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0.15079365079365079,0.0,0,0,1,0,0,15,1,1,0,0,0,30
0,18,11,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,1,0,0,0,3
0,55,15,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,9,1,1,0,0,0,12
1,32,24,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,7,1,1,0,0,0,8
0,19,12,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,4,1,1,0,0,0,4
1,81,27,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.25925925925925924,0.0,1,0,0,1,0,7,1,1,32,0,0,15
0,42,34,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,0,0,0,14
0,104,10,1,10,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.07692307692307693,0.0,0,0,0,0,0,17,1,1,0,0,0,29
0,56,22,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,7,1,1,11,0,0,17
0,43,16,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.18604651162790697,0.0,1,0,0,1,0,8,1,1,18,0,0,6
0,83,14,1,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.012048192771084338,0.0,0,0,0,0,0,14,1,1,0,0,0,23
1,31,10,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.06451612903225806,0.0,0,0,0,0,0,5,1,1,13,0,0,6
0,25,16,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,4
1,51,23,3,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0.0196078431372549,0.0,1,0,0,0,0,8,1,1,0,0,0,13
0,31,22,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,6
1,50,21,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.06,0.0,0,0,0,0,0,7,1,1,6,0,0,16
1,34,23,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,0,0,0,5
0,27,19,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.14814814814814814,0.21052631578947367,1,0,0,1,0,5,1,1,0,0,0,4
0,63,14,3,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,12,1,1,0,0,0,15
0,66,16,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,10,1,1,31,0,0,17
1,40,11,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.1,0.0,0,0,0,0,0,7,1,1,5,0,0,6
0,48,16,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,8,1,1,18,0,0,12
1,126,50,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0.09523809523809523,0.0,0,0,1,0,0,15,1,1,15,0,0,27
1,41,32,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,0,0,0,9
0,36,27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,8
0,72,24,2,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,14,1,1,0,0,0,17
1,68,42,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.16176470588235295,0.0,0,0,0,0,0,8,1,1,15,0,0,17
1,163,14,4,9,1,0,2,0,1,0,0,0,3,0,1,0,2,0,0,0.3987730061349693,0.0,1,0,0,0,0,21,1,1,31,1,0,23
0,26,18,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,6
1,64,17,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.34375,0.0,0,0,0,0,0,6,1,1,32,0,0,12
1,36,28,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.25,0.32142857142857145,0,1,0,0,0,7,1,1,0,0,0,4
1,61,14,2,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,8,1,1,14,0,0,14
0,66,17,2,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0.21212121212121213,0.0,0,0,0,0,0,8,1,1,5,0,0,17
0,35,26,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,5,1,1,0,0,0,8
1,113,24,5,0,0,0,0,0,1,2,0,0,10,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0,16,1,1,9,0,0,32
0,41,34,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,8,1,1,0,0,0,6
0,23,12,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,1,0,0,6,1,1,3,0,0,1
0,31,24,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,1,0,0,0,7
1,84,30,2,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,11,1,1,9,0,0,24
1,29,17,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,4,0,0,4
1,98,26,2,2,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0.29591836734693877,0.0,1,0,1,0,0,13,1,1,0,0,0,16
0,15,8,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,0,0,0,2
0,65,22,2,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,6,1,1,30,0,0,21
1,131,27,2,1,0,1,0,0,1,4,0,0,7,0,3,0,0,0,0,0.030534351145038167,0.0,0,0,1,0,0,12,1,1,46,0,0,28
0,50,23,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,7,1,1,7,0,0,13
1,51,32,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,0,0,0,16
0,45,11,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.13333333333333333,0.0,1,0,0,0,0,8,1,1,13,0,0,7
1,159,14,2,0,0,1,1,0,2,0,0,0,8,0,1,0,1,0,0,0.27044025157232704,0.0,0,0,0,0,0,15,1,1,9,0,0,34
1,44,22,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.22727272727272727,0.13636363636363635,1,0,0,1,0,7,1,1,0,0,0,6
1,103,19,3,1,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0.07766990291262135,0.0,0,0,0,0,0,11,1,1,3,1,0,22
1,46,20,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,9,1,1,6,0,0,13
0,45,16,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,15,0,0,15
1,51,26,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,8,1,1,0,0,0,16
1,38,19,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,7,1,1,8,0,0,8
1,81,27,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.2839506172839506,0.0,1,0,0,1,0,7,1,1,32,0,0,15
0,112,31,2,10,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,16,1,1,69,0,0,34
1,39,16,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,9,0,0,11
1,99,15,2,2,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,0.08080808080808081,0.0,0,0,0,0,0,11,1,1,8,0,0,19
0,45,27,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,9,0,0,12
1,60,35,5,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.03333333333333333,0.05714285714285714,0,1,0,0,0,10,1,1,6,0,0,8
0,74,19,3,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,0,0.08108108108108109,0.0,0,0,0,0,0,13,1,1,15,0,0,12
0,61,18,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,10,1,1,26,0,0,13
1,40,32,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.125,0.15625,0,1,0,0,0,6,1,1,0,0,0,8
1,52,24,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.038461538461538464,0.0,1,0,0,1,0,7,1,1,11,0,0,12
1,88,24,7,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,14,1,1,9,1,0,22
0,74,12,2,0,0,1,0,0,1,0,0,1,4,0,1,0,0,0,1,0.02702702702702703,0.0,0,0,0,0,0,9,1,1,15,0,0,20
0,46,16,2,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0.06521739130434782,0.0,1,0,0,1,0,7,1,1,11,0,0,10
0,54,17,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,7,1,1,15,0,0,13
1,54,21,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,8,1,1,0,0,0,15
0,38,16,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,8,0,0,11
0,67,15,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,10,1,1,18,0,0,16
1,62,13,5,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,9,1,1,7,0,0,14
1,59,17,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.06779661016949153,0.0,0,0,0,0,0,9,1,1,9,0,0,12
